variance,skewness,curtosis,entropy,class
5.8862,5.8747,-2.8167,-0.30087,0
1.645,7.8612,-0.87598,-3.5569,0
-0.7869,9.5663,-3.7867,-7.5034,0
0.92703,9.4318,-0.66263,-1.6728,0
-2.7338,0.45523,2.4391,0.21766,1
-3.38,-0.7077,2.5325,0.71808,1
-4.2333,4.9166,-0.49212,-5.3207,1
3.0864,-2.5845,2.2309,0.30947,0
3.0009,5.8126,-2.2306,-0.66553,0
-2.4554,-9.0407,8.862,-0.86983,1
-1.5449,-10.1498,9.6152,-1.2332,1
-3.1875,-7.5756,11.8678,-0.57889,1
-1.4904,-2.2183,1.6054,0.89394,1
-0.11783,-1.5789,8.03,-0.028031,0
-3.518,2.8763,0.1548,-1.2086,1
0.7049,0.17174,-1.7859,0.36119,1
-2.7611,-10.5099,9.0239,-1.9547,1
-1.8969,-6.7893,5.2761,-0.32544,1
-3.9594,4.0289,-0.35845,-3.8957,1
2.565,8.633,-2.9941,-1.3082,0
-2.799,1.9679,-0.42357,-2.1125,1
-1.8411,10.8306,2.769,-3.0901,0
3.1377,-4.1096,4.5701,0.98963,0
0.5195,-3.2633,3.0895,-0.9849,0
-1.9966,-9.5001,9.682,-0.12889,1
-0.72068,-6.7583,5.8408,0.62369,1
-3.73,-12.9723,12.9817,-2.684,1
-0.60975,-4.002,1.8471,0.6017,1
5.1213,8.5565,-3.3917,-1.5474,0
-1.4217,11.6542,-0.057699,-7.1025,0
-4.211,-12.4736,14.9704,-1.3884,1
0.85574,0.0082678,6.6042,-0.53104,0
-5.1661,8.0433,0.044265,-4.4983,1
-2.2482,3.0915,-2.3969,-2.6711,1
-0.95923,-6.7128,4.9857,0.32886,1
-1.5055,0.070346,6.8681,-0.50648,0
2.5227,2.2369,2.7236,0.79438,0
0.3798,0.7098,0.7572,-0.4444,0
4.5597,-2.4211,2.6413,1.6168,0
3.9479,-3.7723,2.883,0.019813,0
-1.6386,3.3584,-1.7302,-3.5646,1
-3.8053,2.4273,0.6809,-1.0871,1
-3.5637,-8.3827,12.393,-1.2823,1
4.988,7.2052,-3.2846,-1.1608,0
4.1373,0.49248,1.093,1.8276,0
-2.1405,-0.16762,1.321,-0.20906,1
0.20977,-0.46146,7.7267,0.90946,0
5.681,7.795,-2.6848,-0.92544,0
0.52855,0.96427,4.0243,-1.0483,0
0.80355,2.8473,4.3439,0.6017,0
-0.95923,0.091039,6.2204,-1.4828,0
2.1265,6.8783,0.44784,-2.2224,0
3.3299,0.91254,1.5806,0.39352,0
-2.9883,0.31245,0.45041,0.068951,1
3.3756,-4.0951,4.367,1.0698,0
2.9571,-4.5938,5.9068,0.57196,0
0.5195,-3.2633,3.0895,-0.9849,0
1.8592,3.2074,-0.15966,-0.26208,0
-2.2214,-0.23798,0.56008,0.05602,1
2.5698,-4.4076,5.9856,0.078002,0
2.2517,-5.1422,4.2916,-1.2487,0
2.6104,8.0081,-0.23592,-1.7608,0
-1.1391,1.8127,6.9144,0.70127,0
-2.5665,-6.8824,7.5416,0.70774,1
-0.062025,6.1975,1.099,-1.131,0
-0.51003,-0.23591,0.020273,0.76334,1
0.6818,4.8504,-5.2133,-6.1043,1
-4.0218,-8.304,12.555,-1.5099,1
1.0117,0.9022,-2.3506,0.42714,1
1.8373,6.1292,0.84027,0.55257,0
1.105,7.4432,0.41099,-3.0332,0
-2.0046,-0.49457,1.333,1.6543,1
-4.0173,-8.3123,12.4547,-1.4375,1
2.9421,7.4101,-0.97709,-0.88406,0
-1.2576,1.5892,7.0078,0.42455,0
3.5761,9.7753,-3.9795,-3.4638,0
1.164,3.913,-4.5544,-3.8672,1
-1.7322,-9.2828,7.719,-1.7168,1
4.5645,-3.6275,2.8684,0.27714,0
0.030219,-1.0512,1.4024,0.77369,1
-0.4294,-0.14693,0.044265,-0.15605,1
-0.82601,2.9611,-1.2864,-1.4647,1
-3.4917,-12.1736,14.3689,-0.61639,1
-1.0292,-6.3879,5.5255,0.79955,1
-1.1859,-1.2519,2.2635,0.77239,1
1.5799,-4.7076,7.9186,-1.5487,0
-0.53072,-0.097265,-0.21793,1.0426,1
-3.2778,1.8023,0.1805,-2.3931,1
-1.2667,2.8183,-2.426,-1.8862,1
0.6005,1.9327,-3.2888,-0.32415,1
2.3718,7.4908,0.015989,-1.7414,0
-4.3876,-7.7267,11.9655,-1.4543,1
-2.1333,1.5685,-0.084261,-1.7453,1
-0.3489,3.1929,-3.4054,-3.1832,1
2.6946,6.7976,-0.40301,0.44912,0
3.7798,-3.3109,2.6491,0.066365,0
-6.651,6.7934,0.68604,-7.5887,1
-1.1497,1.2954,7.701,0.62627,0
-3.8203,-13.0551,16.9583,-2.3052,1
1.5673,7.9274,-0.056842,-2.1694,0
-3.9297,-6.0816,10.0958,-1.0147,1
-3.0866,-6.6362,10.5405,-0.89182,1
-5.525,6.3258,0.89768,-6.6241,1
0.3798,0.7098,0.7572,-0.4444,0
0.3223,-0.89808,8.0883,0.69222,0
4.7926,1.7071,-0.051701,1.4926,0
-0.38388,-1.0471,8.0514,0.49567,0
0.3798,0.7098,0.7572,-0.4444,0
1.9572,-5.1153,8.6127,-1.4297,0
4.3634,0.46351,1.4281,2.0202,0
-0.86339,1.9348,-2.3729,-1.0897,1
-1.7713,-10.7665,10.2184,-1.0043,1
-3.1158,-8.6289,10.4403,0.97153,1
-5.119,6.6486,-0.049987,-6.5206,1
2.0153,0.43661,4.5864,-0.3151,0
-2.5899,-0.3911,0.93452,0.42972,1
-1.2792,2.1376,-0.47584,-1.3974,1
3.534,9.3614,-3.6316,-1.2461,0
0.89566,7.7763,-2.7473,-1.9353,0
-1.7263,-6.0237,5.2419,0.29524,1
5.7403,-0.44284,0.38015,1.3763,0
-1.8554,-9.6035,7.7764,-0.97716,1
0.5706,-0.0248,1.2421,-0.5621,0
-0.8734,1.6533,-2.1964,-0.78061,1
-3.3125,0.10139,0.55323,-0.2957,1
-3.6012,-6.5389,10.5234,-0.48967,1
-1.7015,-0.010356,-0.99337,-0.53104,1
0.89606,10.5471,-1.4175,-4.0327,0
4.0047,0.45937,1.3621,1.6181,0
2.0843,6.6258,0.48382,-2.2134,0
1.3419,-4.4221,8.09,-1.7349,0
-1.366,0.18416,0.90539,1.5806,1
1.1588,8.9331,-2.0807,-1.1272,0
2.5089,6.841,-0.029423,0.44912,0
-0.69078,-0.50077,-0.35417,0.47498,1
4.0405,0.51524,1.0279,1.106,0
-2.7264,3.9213,-0.49212,-3.6371,1
-1.3946,2.3134,-0.44499,-1.4905,1
4.6361,-2.6611,2.8358,1.1991,0
0.5706,-0.0248,1.2421,-0.5621,0
4.1736,3.3336,-1.4244,0.60429,0
3.9529,-2.3548,2.3792,0.48274,0
0.83292,7.5404,0.65005,-0.92544,0
-4.0679,2.4955,0.79571,-1.1039,1
3.9772,0.33521,2.2566,2.1625,0
-1.6936,2.7852,-2.1835,-1.9276,1
5.7867,7.8902,-2.6196,-0.48708,0
-1.8219,-6.8824,5.4681,0.057313,1
-2.3299,-9.9532,8.4756,-1.8733,1
-3.2238,2.7935,0.32274,-0.86078,1
-4.8554,-5.9037,10.9818,-0.82199,1
-2.5419,-0.65804,2.6842,1.1952,1
-2.6479,10.1374,-1.331,-5.4707,0
4.2772,2.4955,0.48554,0.36119,0
4.7072,8.2957,-2.5605,-1.4905,0
-0.49081,2.8452,-3.6436,-3.1004,1
-3.3203,-0.02691,2.9618,-0.44958,1
-5.2943,-5.1463,10.3332,-1.1181,1
3.4776,8.811,-3.1886,-0.92285,0
0.96708,3.8426,-4.9314,-4.1323,1
1.7747,-6.4334,8.15,-0.89828,0
-1.2369,-1.6906,2.518,0.51636,1
3.884,10.0277,-3.9298,-4.0819,0
0.20216,1.9182,-3.2828,-0.61768,1
0.67886,4.1199,-4.569,-4.1414,1
1.9476,-4.7738,8.527,-1.8668,0
-0.7351,1.7361,-1.4938,-1.1582,1
2.0922,-6.81,8.4636,-0.60216,0
-2.6989,12.1984,0.67661,-8.5482,0
-1.2568,-1.4733,2.8718,0.44653,1
2.8297,6.3485,-0.73546,-0.58665,0
-0.46651,2.3383,-2.9812,-1.0431,1
-2.7914,1.7734,6.7756,-0.39915,0
-0.76794,3.4598,-3.4405,-3.4276,1
0.75896,0.29176,-1.6506,0.83834,1
-0.7869,9.5663,-3.7867,-7.5034,0
2.7206,9.0821,-3.3111,-0.96811,0
-0.91318,-2.0113,-0.19565,0.066365,1
0.74054,0.36625,2.1992,0.48403,0
2.0177,1.7982,-2.9581,0.2099,1
